analysis_label,antipattern,eligible_source_role,repository,eligible_files,flags,flagged_files,percent_eligible_files_flagged,flags_per_100_eligible_files,flags_per_flagged_file
Implicit Columns [application/query source],Implicit Columns,application/query source,Nick-552/link-tracker,8,7,3,37.500000,87.500000,2.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,NurtilekMamashakirov/Bot-Link-Tracker,4,8,2,50.000000,200.000000,4.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Nyrheim/PenAndPaper,9,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,OAGi/Score,164,296,56,34.146341,180.487805,5.285714
Implicit Columns [application/query source],Implicit Columns,application/query source,Online-Tutoring-Application-Team-11/backend-rest-API-service,11,40,5,45.454545,363.636364,8.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Origin-Masters/Cantine-Planner,16,19,4,25.000000,118.750000,4.750000
Implicit Columns [application/query source],Implicit Columns,application/query source,Ovoshchko/BackendTinkoffJavaSpring,9,8,5,55.555556,88.888889,1.600000
Implicit Columns [application/query source],Implicit Columns,application/query source,PKNU-CERT-IS/BE,74,79,24,32.432432,106.756757,3.291667
Implicit Columns [application/query source],Implicit Columns,application/query source,Pa11ady/java-link-tracker,3,3,1,33.333333,100.000000,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Pacan4ik/tinkoff-course-spring2023,10,6,3,30.000000,60.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,ParadiseSS13/TaskDaemon,8,2,2,25.000000,25.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,PathmindAI/pathmind-webapp,37,39,14,37.837838,105.405405,2.785714
Implicit Columns [application/query source],Implicit Columns,application/query source,PonomarevAlexxander/telegram-notifier,5,7,3,60.000000,140.000000,2.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,Programming-Org/Programming,5,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,Prohkit/java-backend-course-2-link-tracker,7,15,4,57.142857,214.285714,3.750000
Implicit Columns [application/query source],Implicit Columns,application/query source,ProstaOlga/prostaBot,34,15,3,8.823529,44.117647,5.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Puru80/food-ordering-system,1,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,QuantuM1o1/Tinkoff2024Homeworks,7,8,3,42.857143,114.285714,2.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,Raha089/oops,3,2,1,33.333333,66.666667,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Reazzzz/oosp-zadanya,2,2,1,50.000000,100.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Rohan-flutterint/texera,32,1,1,3.125000,3.125000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,RomanZozuliauniversity/Javacourework,7,10,6,85.714286,142.857143,1.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,RuslanAndrianov/Backend-Java-Tinkoff-Spring-2024,5,8,3,60.000000,160.000000,2.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,RuslanHkmoff/java-backend-course,5,1,1,20.000000,20.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,SOmegaS/financial-tracker,2,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,Saiyan1/tl-challenge,2,2,2,100.000000,100.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,SavageSyrop/VK-courses,17,7,4,23.529412,41.176471,1.750000
Implicit Columns [application/query source],Implicit Columns,application/query source,ShaDi777/java-course-2024-backend,19,10,4,21.052632,52.631579,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,ShakurDmitrii/inline,4,6,2,50.000000,150.000000,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,SightStudio/blog-code,52,5,2,3.846154,9.615385,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,SleepwalkerPasha/egorov_pa_project,5,7,2,40.000000,140.000000,3.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,SlideHehe/java-backend-course-2,8,19,3,37.500000,237.500000,6.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,SmallWorlds-Forever/sw-streaming,21,104,12,57.142857,495.238095,8.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,SoylentBob/jooq-mock,8,1,1,12.500000,12.500000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Space27/JavaBackendSpring,7,16,4,57.142857,228.571429,4.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Stasik371/LinkTrackingBot,5,5,2,40.000000,100.000000,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,StubbornJava/StubbornJava,26,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,Stumpwiz/mrradb,3,4,1,33.333333,133.333333,4.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Subtelny/DGCraft,36,6,4,11.111111,16.666667,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,TaitoUnited/full-stack-template,3,1,1,33.333333,33.333333,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,TerraByteDev/SkyFactionsReborn,20,18,8,40.000000,90.000000,2.250000
Implicit Columns [application/query source],Implicit Columns,application/query source,TheLQ/forum-scraper,10,6,1,10.000000,60.000000,6.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Thee5176/SpringBoot_CQRS_Command,14,3,2,14.285714,21.428571,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,Thee5176/SpringBoot_CQRS_Query,8,5,3,37.500000,62.500000,1.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,Thulasidharreddy/task-service,1,4,1,100.000000,400.000000,4.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Tiltuem/tinkoff-java-course-2024,9,10,3,33.333333,111.111111,3.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,TivM/Tinkoff-Project,6,1,1,16.666667,16.666667,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Tosin-dotcom/notez-backend,5,6,4,80.000000,120.000000,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,TovarischZhukov/jooq_example,12,13,10,83.333333,108.333333,1.300000
Implicit Columns [application/query source],Implicit Columns,application/query source,TranNgocKhoa/play-framework-java-jooq-example,11,6,3,27.272727,54.545455,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,TunixR/HarmonyAPI,64,108,31,48.437500,168.750000,3.483871
Implicit Columns [application/query source],Implicit Columns,application/query source,UKEIAM/de.uke.iam.parkinson_on_fhir,5,1,1,20.000000,20.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,UniCodeProjects/AmusementParkDB,59,16,12,20.338983,27.118644,1.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,Unite-Organisation/Unite,93,10,7,7.526882,10.752688,1.428571
Implicit Columns [application/query source],Implicit Columns,application/query source,VadymOselskyi/airlines-booking,34,9,6,17.647059,26.470588,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,VictorGalkevich/LinkScrapper,8,13,4,50.000000,162.500000,3.250000
Implicit Columns [application/query source],Implicit Columns,application/query source,ViktoriaGub/Object-oriented-programming-systems,3,2,1,33.333333,66.666667,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,VladimirMorozov/orm-playground,11,5,3,27.272727,45.454545,1.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,VoroninEgor/TgBot-LinkTracker,5,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,Wani4ka/tcs-edu-task,6,11,3,50.000000,183.333333,3.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,WolfOfBad/TinkoffJavaCourse2024,5,12,2,40.000000,240.000000,6.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,YaroslavChetskiy/tinkoff_course_backend_part,11,9,8,72.727273,81.818182,1.125000
Implicit Columns [application/query source],Implicit Columns,application/query source,Yer12/tastamat,18,14,4,22.222222,77.777778,3.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,YuliaKrav/WebContentUpdateService,4,3,2,50.000000,75.000000,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,Yuno-obsessed/jodrive,17,30,10,58.823529,176.470588,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,ZanottiMatteo/BGTransports,16,13,2,12.500000,81.250000,6.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,ZebdaYacine/demofx,4,4,2,50.000000,100.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,ZsgsDesign/openvsx,5,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,ZwierzchowskiM/Client-Server,4,2,2,50.000000,50.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,aabarmin/telegram-bots,3,1,1,33.333333,33.333333,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,aahlenst/jOOQ-mcve-json-quoting,7,11,7,100.000000,157.142857,1.571429
Implicit Columns [application/query source],Implicit Columns,application/query source,aceton41k/java-test-framework,4,3,1,25.000000,75.000000,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,activej/activej,23,3,3,13.043478,13.043478,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,aerius/emission-service,7,1,1,14.285714,14.285714,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,agibalov/java-library-experiments,8,2,1,12.500000,25.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,akozitsin-hh/hh-jooq-intro,5,1,1,20.000000,20.000000,1.000000
