repository,relative_path,source_location,source_role,bytes,nonblank_loc,sha256
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/addPermissoins/JooqAddPermissionAction.java,src,application/query source,1035,27,cd4e64264daec0d7a4acf82a75b1246ccd59eefa9db76a41222524a7d36e8424
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/addUsers/JooqAddUsersToRoleAction.java,src,application/query source,1284,34,53f6dee6f51e6e02c066284fbe70f8490341e547e0400c70fb3e280b279c7fcd
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/createRole/JooqCreateRoleAction.java,src,application/query source,911,25,ddd26307c61039ad44b7bab380920b07991db165ab8b7f0b8399f9a2c3afd068
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/deletePermissions/JooqDeletePermissionsAction.java,src,application/query source,1101,27,d5d10bfce54a285cd845e1674ddfaf8d12acef9a26d45e1ab2a3801402a77566
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/deleteRole/JooqDeleteRoleAction.java,src,application/query source,791,22,f0d4c1533e2be9a308b80176819eb3193efd4ccaa7ad0bdf9ab45146e56b1aa0
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/removeUsers/JooqRemoveUsersFromRoleAction.java,src,application/query source,880,24,9c0490f78a5211d2ee4043c9e22afc8c492a50e9fb369cc2316580bc3ddabf8e
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/updateRoleInfo/JooqUpdateRoleInfoAction.java,src,application/query source,1206,29,54e82eb309cbd29b0e8513be1c3e10c9e52103048512796a16f5aebfd6812827
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/action/updateUserHasRole/JooqUpdateUsersHasRoleAction.java,src,application/query source,1800,43,88956831d65a4df20f6315a2616f3c7ff1484b0195709120c0f5a951eff844f0
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/mapper/ListedRoleMapper.java,src,application/query source,1032,24,0f8893424f7b40eed14008836e5671759d94be844307b9e52452b3aa4c46728b
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/roles/mapper/UserHasRoleMapper.java,src,application/query source,549,13,d9c9199c976b48b4d56a2e0c5e00afda742e707e158c917feda10db12ab23967
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/room/action/confirmUserExchangeStatus/JooqConfirmUserExchangeStatusAction.java,src,application/query source,1121,25,38ada3f90f3ed73945fa01b399ac1ae85c072c2df5f5b724dad2008130399071
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/room/action/createExchangeConfirmationStatusObj/JooqCreateExchangeObjAction.java,src,application/query source,1869,38,aafa2103fb1f9cab97c99dd4df54c7b3c0ad8b39aef27ad5e8babfafe013ec4d
